Date,Id,Descr,Active,Color,CycleName,Page,Event_ID
"08/23/98 00:00:00",1,"Complete Rest - No activity",2,16777088,"3 Week Cyc",1,0
"08/24/98 00:00:00",1,"Complete Rest - No activity",2,16777088,"3 Week Cyc",1,0
"08/25/98 00:00:00",1,"Activity Rest - Very easy & limited activity. 20 - 30 mins of light training.",2,4227327,"3 Week Cyc",1,0
"08/26/98 00:00:00",1,"Complete Rest - No activity",2,16777088,"3 Week Cyc",1,0
"08/27/98 00:00:00",1,"Complete Rest - No activity",2,16777088,"3 Week Cyc",1,0
"08/28/98 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
"08/29/98 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
"08/30/98 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
"08/31/98 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
"09/01/98 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
"09/02/98 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
"09/03/98 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
"09/04/98 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
"09/05/98 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
"09/06/98 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
"09/07/98 00:00:00",1,"Activity Rest - Very easy & limited activity. 20 - 30 mins of light training.",2,4227327,"3 Week Cyc",1,0
"09/08/98 00:00:00",1,"Complete Rest - No activity",2,16777088,"3 Week Cyc",1,0
"09/09/98 00:00:00",1,"Complete Rest - No activity",2,16777088,"3 Week Cyc",1,0
"09/10/98 00:00:00",1,"Train Easy - High cadance group ride.",2,65280,"3 Week Cyc",1,0
"09/11/98 00:00:00",1,"Train Moderate - 1 to 1 1/2 hours, Sprints, moderate intervals.",2,16744448,"3 Week Cyc",1,0
"09/12/98 00:00:00",1,"Peak Performance -  ******** GO FOR IT *********",2,255,"3 Week Cyc",1,0
"12/26/98 00:00:00",1,"Activity Rest - Very easy & limited activity. 20 - 30 mins of light training.",0,4227327,"3 Day Cycl",1,0
"12/27/98 00:00:00",1,"Complete Rest - No activity",0,16777088,"3 Day Cycl",1,0
"12/28/98 00:00:00",1,"Complete Rest - No activity",0,16777088,"3 Day Cycl",1,0
"12/29/98 00:00:00",1,"Train Easy - High cadance group ride.",0,65280,"3 Day Cycl",1,0
"12/30/98 00:00:00",1,"Train Moderate - 1 to 1 1/2 hours, Sprints, moderate intervals.",0,16744448,"3 Day Cycl",1,0
"12/31/98 00:00:00",1,"Peak Performance -  ******** GO FOR IT *********",0,255,"3 Day Cycl",1,0
"01/17/99 00:00:00",1,"Activity Rest - Very easy & limited activity. 20 - 30 mins of light training.",0,4227327,"3 Day Cycl",1,0
"01/18/99 00:00:00",1,"Complete Rest - No activity",0,16777088,"3 Day Cycl",1,0
"01/19/99 00:00:00",1,"Complete Rest - No activity",0,16777088,"3 Day Cycl",1,0
"01/20/99 00:00:00",1,"Train Easy - High cadance group ride.",0,65280,"3 Day Cycl",1,0
"01/21/99 00:00:00",1,"Train Moderate - 1 to 1 1/2 hours, Sprints, moderate intervals.",0,16744448,"3 Day Cycl",1,0
"01/22/99 00:00:00",1,"Peak Performance -  ******** GO FOR IT *********",0,255,"3 Day Cycl",1,0
"03/21/99 00:00:00",1,"Complete Rest - No activity",2,16777088,"3 Week Cyc",1,0
"03/22/99 00:00:00",1,"Complete Rest - No activity",2,16777088,"3 Week Cyc",1,0
"03/23/99 00:00:00",1,"Activity Rest - Very easy & limited activity. 20 - 30 mins of light training.",2,4227327,"3 Week Cyc",1,0
"03/24/99 00:00:00",1,"Complete Rest - No activity",2,16777088,"3 Week Cyc",1,0
"03/25/99 00:00:00",1,"Complete Rest - No activity",2,16777088,"3 Week Cyc",1,0
"03/26/99 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
"03/27/99 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
"03/28/99 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
"03/29/99 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
"03/30/99 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
"03/31/99 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
"04/01/99 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
"04/02/99 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
"04/03/99 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
"04/04/99 00:00:00",1,"Regular Training - Normal training schedule.",2,16744703,"3 Week Cyc",1,0
